,0
0,0.036153544
1,1.0966566
2,0.18378043
3,0.036153544
4,2.0788274
5,0.006025588
6,-0.009038359
7,0.09038382
8,1.0635166
9,0.07833261
10,1.8709443
11,-0.021089545
12,-0.036153506
13,0.37961203
14,0.039166316
15,-0.0030127848
16,1.8829957
17,0.4398678
18,0.66884017
19,-0.0030127848
20,-0.027115138
21,2.4976058
22,-0.021089545
23,0.5182005
24,2.9555516
25,0.7260834
26,1.4190253
27,0.021089572
28,0.069294274
29,4.9379697
30,0.37659925
31,0.75621134
32,2.1149802
33,6.860131
34,2.7958734
35,0.22294667
36,4.702969
37,0.6146101
38,2.1210067
39,-0.009038359
40,-0.0030127848
41,1.4612044
42,0.71704483
43,0.021089572
44,2.6783726
45,0.12955014
46,2.9645884
47,3.5581102
48,2.0245967
49,0.033140756
50,1.5124222
51,3.1122155
52,0.012051172
53,0.039166316
54,2.6602957
55,1.7353691
56,-0.018076742
57,0.09640936
58,0.006025588
59,0.27115136
60,0.057243083
61,2.9555516
62,2.1059418
63,-0.021089545
64,-0.030127918
65,2.0486987
66,0.021089572
67,1.8890206
68,0.057243083
69,0.50916225
70,7.8814654
71,0.012051172
72,0.030127944
73,0.015063956
74,0.060255896
75,2.8832436
76,0.06326867
77,0.051217504
78,3.7388752
79,1.6419728
80,6.655259
81,2.187288
82,0.02711517
83,0.07531987
84,2.8049114
85,-0.018076742
86,0.23499787
87,0.62666124
88,0.009038378
89,0.018076777
90,0.039166316
91,-0.009038359
92,1.6359459
93,1.9613285
94,0.009038378
95,-0.0030127848
96,0.072307035
97,-0.006025565
98,1.5365249
99,2.0245967
100,2.949526
101,0.0
102,3.594261
103,2.539785
104,3.410481
105,2.127033
106,0.0
107,3.2779193
108,2.1631858
109,-0.030127918
110,0.006025588
111,4.5222044
112,8.001983
113,0.015063956
114,0.051217504
115,0.80441576
116,2.6482441
117,0.4398678
118,2.0306232
119,1.4250506
120,0.009038378
121,-0.0421791
122,-0.006025565
123,0.033140756
124,-0.015063961
125,-0.030127918
126,-0.006025565
127,-0.033140715
128,-0.045191888
129,0.90685105
130,-0.015063961
131,1.8106885
132,0.40070155
133,3.2056112
134,-0.024102334
135,5.3477063
136,1.8498544
137,-0.012051167
138,-0.018076742
139,3.0218332
140,5.54354
141,0.012051172
142,3.0007422
143,0.036153544
144,7.2517915
145,0.021089572
146,1.250309
147,1.3316551
148,3.151382
149,1.394923
150,6.6462207
151,0.009038378
152,0.0
153,-0.036153506
154,0.9640942
155,0.006025588
156,0.63268673
157,-0.039166305
158,4.4047055
159,2.4102347
160,0.34647122
161,13.135779
162,0.89781237
163,-0.027115138
164,8.468965
165,-0.021089545
166,0.0482047
167,1.0454397
168,0.37659925
169,0.0
170,0.09038382
171,-0.027115138
172,0.057243083
173,0.0
174,1.0876186
175,0.49108523
176,0.46397027
177,2.2324808
178,3.0911245
179,-0.033140715
180,2.467477
181,-0.018076742
182,0.20487002
183,1.4732565
184,0.0030128174
185,0.88576096
186,-0.024102334
187,0.3042922
188,3.8503487
189,0.0
190,2.1089559
191,0.81646717
192,5.1729646
193,1.9643415
194,0.52121323
195,4.766238
196,-0.021089545
197,0.37057355
198,7.9085855
199,2.1752377
200,3.594261
201,0.024102366
202,-0.015063961
203,3.0158074
204,-0.039166305
205,-0.05121748
206,1.8679315
207,0.015063956
208,0.006025588
209,3.8292608
210,-0.0030127848
211,-0.045191888
212,0.6236484
213,-0.015063961
214,-0.030127918
215,-0.030127918
216,-0.009038359
217,3.4315727
218,-0.030127918
219,4.823482
220,0.045191944
221,0.64473766
222,3.1875353
223,0.060255896
224,0.054230317
225,4.5794454
226,2.8802297
227,1.5124222
228,2.6392064
229,-0.012051167
230,0.015063956
231,0.28621534
232,0.0482047
233,3.9678488
234,0.02711517
235,0.051217504
236,4.543292
237,0.17172924
238,-0.036153506
239,-0.030127918
240,0.015063956
241,0.07833261
242,-0.009038359
243,2.7747838
244,0.80441576
245,2.6030543
246,2.4945927
247,-0.018076742
248,0.14762689
249,1.4943453
250,4.040156
251,3.1423423
252,0.057243083
253,1.3798593
254,3.859387
255,-0.0421791
256,0.045191944
257,9.68613
258,0.32538173
259,1.9884444
260,-0.015063961
261,0.08435825
262,1.0876186
263,-0.039166305
264,1.5335119
265,0.07531987
266,-0.018076742
267,0.30730498
268,1.5546019
269,6.4082127
270,-0.036153506
271,-0.009038359
272,1.5214603
273,3.4014437
274,0.7351216
275,0.04217914
276,2.346965
277,-0.0421791
278,1.4491541
279,0.012051172
280,1.3316551
281,0.006025588
282,0.0
283,0.30730498
284,0.051217504
285,0.08737099
286,0.039166316
287,3.410481
288,-0.012051167
289,-0.015063961
290,1.6600485
291,0.039166316
292,-0.024102334
293,3.082089
294,2.7115152
295,1.696202
296,4.591499
297,-0.033140715
298,-0.009038359
299,0.009038378
300,-0.012051167
301,5.3808517
302,0.0482047
303,2.0155594
304,3.4858022
305,0.039166316
306,1.5817169
307,3.3080463
308,8.218901
309,0.039166316
310,0.2621131
311,2.072801
312,-0.033140715
313,-0.036153506
314,0.23801076
315,0.039166316
316,1.5094095
317,3.9919505
318,6.3600087
319,5.2573237
320,1.2653738
321,2.136071
322,-0.054230276
323,-0.021089545
324,2.1812632
325,-0.015063961
326,1.3768462
327,5.2814274
328,-0.006025565
329,2.1149802
330,1.9763914
331,4.1546426
332,1.1719772
333,2.5036304
334,2.2686343
335,0.021089572
336,-0.012051167
337,0.0
338,0.012051172
339,1.5726779
340,0.033140756
341,0.015063956
342,0.12955014
343,2.0336354
344,0.054230317
345,0.009038378
346,-0.0030127848
347,0.7833263
348,-0.039166305
349,0.0030128174
350,0.015063956
351,1.5425495
352,0.49711105
353,1.8167145
354,0.5031366
355,0.021089572
356,0.015063956
357,1.1719772
358,4.7541876
359,2.2113898
360,4.1546426
361,1.1719772
362,0.015063956
363,2.1089559
364,0.8646715
365,0.02711517
366,-0.045191888
367,0.5935203
368,0.060255896
369,0.045191944
370,0.009038378
371,1.6028055
372,0.8435823
373,0.09038382
374,1.5365249
375,4.95303
376,2.1631858
377,7.685637
378,0.06628147
379,2.5096567
380,0.21692108
381,0.024102366
382,-0.009038359
383,-0.006025565
384,-0.045191888
385,2.5699136
386,0.024102366
387,2.4524148
388,0.033140756
389,2.3168375
390,0.060255896
391,2.4192731
392,2.40421
393,1.6751137
394,3.362276
395,1.2051178
396,2.401196
397,9.8247175
398,6.3087893
399,0.06326867
400,-0.006025565
401,-0.033140715
402,0.1265373
403,0.36454806
404,1.5244734
405,2.6452324
406,1.6419728
407,1.7594719
408,0.009038378
409,0.069294274
410,-0.045191888
411,2.437349
412,0.38865048
413,7.658523
414,1.2171687
415,-0.0030127848
416,7.7880697
417,1.4822949
418,3.7268248
419,-0.033140715
420,1.9733801
421,0.32236898
422,0.7983903
423,-0.006025565
424,1.5847293
425,1.6660748
426,-0.039166305
427,0.02711517
428,0.71101934
429,1.1508874
430,2.594015
431,0.015063956
432,1.5847293
433,-0.030127918
434,1.8137017
435,0.6929426
436,2.2264535
437,0.045191944
438,5.58873
439,0.7441602
440,-0.021089545
441,1.6901765
442,0.024102366
443,0.0
444,0.07833261
445,1.6811392
446,5.877961
447,1.6329341
448,1.5726779
449,-0.012051167
450,0.09942219
451,4.9078417
452,0.012051172
453,1.9583161
454,4.434833
455,0.021089572
456,0.20788279
457,0.021089572
458,6.3961587
459,0.009038378
460,0.006025588
461,0.24403623
462,0.18980598
463,0.015063956
464,-0.009038359
465,0.02711517
466,22.595957
467,0.009038378
468,2.2806852
469,1.6148571
470,10.620098
471,1.0183246
472,4.657779
473,0.015063956
474,0.036153544
475,-0.030127918
476,0.015063956
477,0.09038382
478,1.7865863
479,1.6148571
480,0.018076777
481,0.77730083
482,3.0640118
483,-0.015063961
484,0.04217914
485,1.0936438
486,0.015063956
487,-0.012051167
488,0.0482047
489,2.6783726
490,1.9161372
