,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,213153.92,100193.0,33236.76,16514.58,607.99,62.0
1,186049.92,91224.0,37089.47,12798.54,484.11,62.0
2,262143.0,102544.0,62587.94,35759.1,766.1,62.1
3,256426.23,103534.0,48986.68,43256.92,1010.6,62.1
4,72702.56,36460.0,41123.832,333.89,480.85,62.1
5,166605.6,86328.0,28839.1,22031.55,303.18,62.2
6,201453.28,99936.0,54534.79,19055.951,710.68,62.2
7,258694.23,106616.0,67042.69,14052.79,560.72,62.2
8,165368.0,75129.0,35861.17,16566.48,386.31,62.3
9,226506.56,100764.0,42955.902,9457.91,412.38998,62.4
10,208909.12,103084.0,29242.19,16588.97,594.95,62.4
11,179242.56,97059.0,35814.46,28811.42,524.86,62.4
12,219262.4,97685.0,41957.69,14099.5,438.47,62.5
13,63943.04,36430.0,39473.41,216.25,275.47,62.5
14,201019.84,112326.0,48825.79,6364.67,371.63998,62.5
15,156191.84,99892.0,25465.6,10852.29,251.02,62.6
16,178949.12,90428.0,25462.14,7243.5103,335.78,62.6
17,183345.12,99436.0,37810.88,15467.93,422.17,62.6
18,194712.0,95603.0,44120.19,20856.88,546.05,62.6
19,216096.16,99204.0,56752.652,11187.91,733.5,62.6
20,214270.56,92344.0,42094.36,12411.0205,459.66,62.7
21,183704.64,99376.0,18972.91,16864.041,268.95,62.7
22,242301.92,100922.0,48721.992,13864.22,689.49,62.7
23,236794.88,114392.0,66214.02,25655.9,772.62,62.8
24,165811.52,84781.0,32932.28,16633.95,493.88998,62.8
25,218461.6,100741.0,48049.02,15938.49,580.27997,62.8
26,177998.23,100669.0,34029.1,13310.62,358.6,62.9
27,217581.28,107449.0,47381.242,13948.99,559.09,62.9
28,187828.48,97638.0,32722.951,15538.86,347.19,62.9
29,227795.69,106292.0,48542.07,14661.75,554.2,62.9
30,116458.72,55884.0,55427.47,541.49,673.19,62.9
31,197219.69,107932.0,41103.07,17419.371,541.16,63.0
32,262143.0,107293.0,71251.78,23543.57,964.96,63.0
33,262143.0,113625.0,82854.89,27602.15,818.26,63.0
34,18878.72,5155.0,51273.742,117.64,286.88,63.0
35,206239.05,103933.0,31435.83,12693.01,508.56,63.1
36,230080.48,107753.0,35484.03,16296.601,593.32,63.1
37,203944.16,93086.0,32235.09,12277.811,458.03,63.1
38,262143.0,98907.0,77311.97,23180.27,774.25,63.1
39,198021.6,99121.0,42222.38,10336.75,342.3,63.1
40,182479.36,98165.0,30631.38,16860.58,529.75,63.2
41,212852.64,91025.0,57918.67,18019.68,663.41,63.3
42,262143.0,105855.0,81740.77,29830.39,1036.68,63.3
43,211971.2,105937.0,41276.07,15992.12,332.52,63.3
44,200747.69,95418.0,43128.902,8719.2,449.88,63.4
45,257576.48,103216.0,56219.812,22239.15,438.47,63.4
46,217715.69,108016.0,41478.48,11367.83,500.41,63.4
47,237046.88,98266.0,34390.67,10232.95,394.46,63.5
