,0
0,2.0955157
1,6.096038
2,5.524535
3,7.0485454
4,1.1430086
5,1.5240111
6,2.2860162
7,0.38100258
8,5.1435347
9,-1.714511
10,0.0
11,13.716086
12,-0.9525058
13,3.0480204
14,2.2860162
15,4.7625337
16,-0.9525058
17,-0.76200455
18,8.382055
19,-0.5715024
20,6.667545
21,-0.5715024
22,1.7145131
23,0.5715036
24,-1.1430062
25,0.0
26,2.0955157
27,16.192612
28,-1.3335081
29,1.3335099
30,17.14511
31,6.8580465
32,14.09709
33,2.0955157
34,0.0
35,11.811081
36,0.38100258
37,4.5720296
38,-0.9525058
39,14.668594
40,3.4290247
41,0.76200485
42,-0.3810011
43,27.432177
44,3.0480204
45,-3.0480192
46,1.9050132
47,4.7625337
48,-0.5715024
49,0.76200485
50,5.3340373
51,4.000527
52,1.3335099
53,4.3815303
54,3.0480204
55,10.858572
56,21.907642
57,-1.714511
58,3.6195242
59,1.7145131
60,2.4765165
61,33.909233
62,3.238522
63,1.7145131
64,0.76200485
65,7.0485454
66,0.19050275
67,2.2860162
68,5.9055376
69,0.9525055
70,34.290226
71,-1.9050114
72,2.0955157
73,9.525061
74,18.85963
75,-1.1430062
76,33.71871
77,1.5240111
78,6.4770403
79,-0.76200455
80,0.0
81,5.3340373
82,5.715039
83,-2.0955129
84,-1.9050114
85,304.80206
86,3.4290247
87,13.144588
88,1.7145131
89,-0.9525058
90,3.4290247
91,1.5240111
92,13.716086
93,1.7145131
94,19.621635
95,0.38100258
96,11.620579
97,2.8575213
98,3.6195242
99,0.38100258
100,3.238522
101,0.9525055
102,0.5715036
103,0.76200485
104,23.43165
105,2.0955157
106,-2.0955129
107,-1.714511
108,1.3335099
109,2.4765165
110,7.6200504
111,-1.5240091
112,26.098677
113,-4.0005255
114,0.19050275
115,-0.9525058
116,16.573612
117,1.7145131
118,1.5240111
119,10.287068
120,0.5715036
121,1.5240111
122,3.4290247
123,-1.3335081
124,0.76200485
125,4.3815303
126,21.52664
127,0.38100258
128,3.6195242
129,2.8575213
130,1.9050132
131,5.715039
132,0.76200485
133,24.193655
134,25.336668
135,-0.9525058
136,7.2390475
137,4.000527
138,5.524535
139,2.4765165
140,177.3567
141,18.288124
142,1.9050132
143,44.386803
144,18.669127
145,2.2860162
146,-1.9050114
147,0.38100258
148,-0.5715024
149,4.953031
150,-0.1905007
151,0.19050275
152,6.8580465
153,0.19050275
154,7.8105526
155,0.19050275
156,0.19050275
157,-0.1905007
158,-2.4765155
159,12.763586
160,1.9050132
161,3.238522
162,4.000527
163,4.191028
164,11.620579
165,59.055363
166,-1.714511
167,10.858572
168,4.3815303
169,0.0
