,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,186723.05,98241.0,29515.531,9935.39,503.67,50.8
1,237381.77,108921.0,41007.92,21535.041,777.51,50.8
2,220551.52,106979.0,55320.21,39182.77,859.01,50.8
3,177177.28,107973.0,31946.18,13874.601,482.48,50.8
4,213851.69,106184.0,28543.27,12232.83,523.23,50.9
5,181391.84,98578.0,32560.33,12044.26,451.51,50.9
6,146638.23,86873.0,33195.242,16720.45,531.38,50.9
7,174874.56,98564.0,25837.55,18767.041,485.74,51.0
8,166099.36,95368.0,32527.46,8720.93,634.07,51.0
9,99335.04,57421.0,49360.36,313.13,353.71,51.0
10,169701.28,81241.0,62150.25,21284.19,652.0,51.1
11,248158.4,105540.0,58754.26,13843.46,770.99,51.1
12,181937.28,77464.0,56711.13,22249.53,834.56,51.1
13,195905.92,104031.0,32069.01,13945.53,552.57,51.2
14,185721.77,99302.0,25735.48,12952.51,371.63998,51.2
15,170588.33,86087.0,31160.76,15419.49,723.72,51.2
16,120428.0,73976.0,17992.0,8489.11,128.77,51.2
17,8336.16,5805.0,11449.14,-6.92,6.52,51.2
18,12790.4,10385.0,4043.01,621.07,-14.67,51.2
19,67947.04,56288.0,8020.2803,4844.0,86.39,51.3
20,224716.8,106092.0,78732.305,45355.41,1201.3099,51.3
21,194083.69,92046.0,50886.22,23612.77,596.58,51.3
22,52738.56,47562.0,2269.76,1020.7,47.27,51.3
23,167289.92,93436.0,22879.25,10305.61,314.59,51.3
24,60530.4,34274.0,28261.281,281.99,394.46,51.3
25,170852.64,92484.0,20848.23,11461.25,223.31,51.4
26,168797.44,89505.0,43749.97,15023.32,945.4,51.5
27,203051.52,102848.0,24315.15,11533.91,464.55,51.5
28,190412.33,93437.0,30451.46,16504.2,425.43,51.5
29,202425.44,87884.0,58307.92,25813.33,779.14,51.5
30,20516.16,6874.0,14779.391,147.05,132.03,51.5
31,100422.56,57380.0,37641.34,349.46,539.52997,51.5
32,186755.52,104826.0,25472.52,15834.69,342.3,51.6
33,206115.84,95112.0,43407.43,24655.96,849.23,51.6
34,186692.8,104313.0,39037.45,11442.22,308.07,51.6
35,219696.95,94924.0,105275.69,76362.2,2321.1199,51.6
36,200402.72,100796.0,20910.51,12250.13,440.1,51.6
37,257508.16,101344.0,62686.55,81259.83,1499.6,51.7
38,207175.36,101630.0,30986.031,16464.41,818.26,51.7
39,235623.36,103389.0,47083.68,14206.76,593.32,51.7
40,55257.44,29332.0,38966.52,242.2,304.81,51.8
41,206820.33,96999.0,40066.8,19491.91,1015.49,51.8
42,189692.16,96959.0,31996.35,6952.87,339.04,51.8
43,189334.88,104136.0,36959.72,9532.3,386.31,51.8
44,169532.16,96320.0,25373.91,14336.51,420.54,51.9
45,205763.05,105992.0,26342.71,17033.58,510.19,51.9
46,239137.92,101009.0,42805.39,31902.93,1066.02,51.9
47,228308.64,109774.0,40981.97,18083.69,585.17,52.0
48,224631.69,101720.0,34631.14,18965.99,741.65,52.0
49,198225.44,101969.0,23867.08,17799.97,435.21,52.0
50,153622.56,93004.0,27948.15,9919.82,400.98,52.1
51,262143.0,106913.0,45810.402,63809.32,1445.8099,52.1
52,220752.0,98470.0,58816.54,22685.49,1185.01,52.2
53,140739.2,90012.0,19310.26,8551.39,257.54,52.2
54,157595.2,91352.0,26704.281,16614.92,567.24,52.2
55,204820.0,108148.0,33714.242,16616.65,663.41,52.3
56,165501.28,94845.0,16606.27,9295.29,249.39,52.3
57,206423.84,106265.0,33437.44,10340.21,451.51,52.3
58,200746.56,97067.0,40430.1,23619.69,356.97,52.3
59,257661.6,103261.0,41322.78,35150.14,606.36,52.4
60,179026.4,96296.0,22605.91,8172.52,265.69,52.4
61,181149.92,92906.0,26659.3,15341.641,444.99,52.4
62,180582.08,94080.0,43834.742,17979.89,681.34,52.4
63,213147.2,110108.0,33984.12,12689.55,471.07,52.4
64,262143.0,112549.0,55062.44,29458.44,665.04,52.4
65,202136.48,101741.0,38205.32,18839.701,575.39,52.5
66,198611.84,94381.0,37295.34,18472.94,536.27,52.5
67,221487.84,101032.0,71725.805,23015.92,932.36,52.6
68,248441.77,96496.0,63496.19,18976.371,1072.54,52.6
69,253083.05,97104.0,65189.86,49932.992,1103.51,52.6
70,183716.95,98411.0,41949.04,12520.01,368.38,52.7
71,256225.77,104344.0,77863.84,35061.91,1638.15,52.7
72,182321.44,98832.0,27769.96,12627.2705,469.44,52.7
73,227357.77,107104.0,28397.951,10745.03,236.35,52.7
74,134492.95,77349.0,34904.48,20398.43,1023.64,52.8
75,243662.72,105646.0,42628.93,11246.73,389.57,52.8
76,244773.77,104073.0,43277.68,18168.46,591.69,52.8
77,250096.0,95867.0,54290.86,28944.63,1070.91,52.8
78,222293.12,108024.0,46732.492,33740.19,1261.62,52.9
79,224752.64,105364.0,33070.68,16104.57,601.47,52.9
80,262143.0,95401.0,82256.31,34688.23,1742.47,53.0
81,44676.8,11165.0,44909.07,126.29,448.25,53.0
