,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,201969.6,100532.0,54078.07,24507.18,516.71,62.8
1,165962.72,92810.0,31366.63,10710.43,265.69,62.8
2,175532.0,96772.0,32117.451,20458.98,241.24,62.8
3,179110.4,91513.0,65350.75,32428.85,694.38,62.8
4,159457.77,85340.0,21586.94,14333.05,251.02,62.8
5,123995.2,73076.0,25564.21,13011.33,270.58,62.8
6,180592.16,94393.0,58804.43,15070.03,404.24,62.9
7,168823.2,91379.0,32418.47,19367.35,244.5,62.9
8,179761.12,99222.0,22445.02,9862.73,239.61,62.9
9,222343.52,110830.0,29416.92,14044.141,374.9,62.9
10,147631.69,89359.0,24491.61,11914.51,252.65,62.9
11,202585.6,87082.0,55797.69,36932.04,671.56,62.9
12,139507.2,79170.0,26929.18,12090.97,229.83,62.9
13,100507.68,64621.0,22178.6,12852.17,285.25,63.0
14,146959.69,80112.0,38625.71,16172.04,280.36,63.0
15,201069.12,99664.0,25768.35,18421.041,207.01,63.0
16,204245.44,93981.0,50289.37,21768.59,449.88,63.0
17,218653.12,103085.0,46139.1,22578.23,409.13,63.0
18,192422.72,103252.0,36615.45,12821.03,192.34,63.0
19,196361.77,101905.0,35198.582,22081.72,342.3,63.1
20,174913.77,95672.0,24716.51,10890.351,251.02,63.1
21,173294.23,88180.0,37736.492,24796.09,394.46,63.1
22,79966.88,49951.0,29121.09,214.52,140.18,63.2
23,262143.0,105230.0,105137.29,50699.38,801.96,63.2
24,231441.28,106636.0,44139.22,15820.851,275.47,63.2
25,202945.12,107316.0,40238.07,17075.1,264.06,63.2
26,165129.44,92311.0,36025.52,4662.35,329.26,63.2
27,131231.52,78488.0,26600.48,11750.16,145.06999,63.3
28,141058.4,83895.0,22723.55,11859.15,184.19,63.3
29,196460.33,96716.0,38765.84,13357.33,117.36,63.3
30,110539.52,73043.0,32807.72,20799.791,273.84,63.3
31,160457.92,86657.0,31477.35,14819.18,249.39,63.3
32,197637.44,100705.0,37707.082,10248.5205,334.15,63.3
33,178363.36,100641.0,16097.65,15888.32,91.28,63.4
34,174152.16,93781.0,36233.12,13474.97,216.79,63.4
35,188573.28,98896.0,37250.36,15959.25,290.13998,63.4
36,169542.23,82637.0,34293.79,6684.72,205.38,63.4
37,211298.08,102716.0,48805.03,16021.53,392.83,63.4
38,255867.36,106612.0,65669.07,19014.43,464.55,63.4
39,160114.08,87665.0,25719.91,21211.53,316.22,63.4
40,117091.52,63813.0,35151.87,20318.85,207.01,63.5
41,209854.4,88479.0,85624.62,48216.832,635.7,63.5
42,179081.28,100660.0,31761.07,10129.15,190.71,63.5
43,159259.52,83038.0,54197.44,19531.701,405.87,63.6
44,145116.16,81973.0,30001.66,12295.11,399.35,63.6
45,177663.36,97519.0,36162.19,13976.67,182.56,63.7
46,187423.05,97192.0,32790.42,5273.04,304.81,63.8
47,169682.23,94412.0,26866.9,12817.57,148.33,63.8
48,160024.48,90744.0,15834.69,7753.86,154.85,63.8
49,224399.84,110905.0,56370.32,18511.0,321.11,63.8
50,10214.4,9620.0,4143.35,31.14,44.01,63.9
51,206802.4,103784.0,25863.5,20161.42,159.74,63.9
52,25017.44,18596.0,11558.13,58.82,0.0,63.9
53,154761.6,81533.0,30982.57,30577.75,273.84,63.9
54,150540.33,93189.0,24382.621,13329.65,107.58,64.0
55,199590.72,93966.0,39997.6,15696.29,451.51,64.1
56,202392.95,96538.0,44410.832,8020.2803,288.51,64.1
57,202037.92,100784.0,24841.07,9366.22,260.8,64.1
58,78696.8,46637.0,29444.6,169.54001,277.1,64.1
59,134690.08,77838.0,25562.48,9151.7,251.02,64.1
60,183376.48,102077.0,32885.57,14322.67,205.38,64.2
61,202529.6,106300.0,30245.59,14749.98,216.79,64.2
62,126133.28,66329.0,81918.96,1103.74,580.27997,64.2
63,197113.28,102400.0,38585.92,23444.96,510.19,64.2
64,224013.44,93010.0,33515.29,41314.13,586.8,64.2
65,173912.48,88632.0,46850.13,9191.49,353.71,64.2
66,156748.48,76829.0,34802.41,15736.08,265.69,64.3
67,190439.2,99737.0,29145.31,12298.57,317.85,64.3
68,169687.84,82574.0,50273.8,26681.791,399.35,64.4
69,159104.95,98544.0,25342.77,12871.2,156.48,64.4
70,166663.84,92930.0,17931.451,8828.19,216.79,64.4
71,154770.56,90400.0,38641.28,8231.34,265.69,64.4
72,190879.36,100624.0,31638.24,20351.72,221.68,64.5
73,132154.4,79785.0,27038.17,13267.37,180.93,64.5
74,182564.48,98537.0,27910.09,15625.36,122.25,64.5
75,185951.36,97452.0,28356.43,17324.22,141.81,64.6
76,187018.72,92476.0,42128.96,23088.58,462.92,64.6
77,135541.28,82380.0,26967.24,10876.51,234.72,64.6
78,104898.08,70328.0,15381.43,18997.13,115.73,64.6
79,193652.48,100515.0,53552.152,30600.24,405.87,64.7
80,172719.69,90057.0,30420.32,19825.8,291.77,64.8
81,158615.52,92403.0,21329.17,10651.61,249.39,64.8
82,192339.84,97883.0,39350.582,7350.77,353.71,64.8
83,7747.04,5299.0,16111.49,-31.14,68.46,64.8
84,251044.64,92657.0,50882.76,30882.23,418.91,64.8
85,178076.64,94311.0,27012.22,17215.23,197.23,64.9
86,121315.04,57436.0,92343.94,375.41,702.52997,64.9
87,125357.12,69993.0,40693.06,26178.36,409.13,65.0
88,100264.64,62224.0,23969.15,20069.73,228.2,65.0
89,200458.72,103036.0,36267.72,7298.87,330.88998,65.0
90,186520.33,101344.0,20832.66,9618.8,195.6,65.0
91,210267.69,98749.0,53053.91,16625.3,443.36,65.0
92,74662.56,49773.0,27212.9,195.49,275.47,65.1
93,244397.44,105560.0,53740.72,30669.44,459.66,65.1
94,8905.12,5711.0,4115.67,70.93,68.46,65.1
95,169495.2,97800.0,19600.9,10354.05,221.68,65.1
96,227925.6,111026.0,34523.88,15929.84,361.86,65.2
97,165025.28,92213.0,32295.64,7319.63,430.32,65.2
98,155535.52,92273.0,25360.07,13995.7,145.06999,65.3
99,133575.69,84076.0,20460.71,15694.561,179.3,65.3
100,169760.64,101620.0,17204.85,15275.9,200.49,65.4
101,147585.77,82198.0,20578.35,14874.54,167.89,65.4
102,13638.24,12401.0,1586.41,1190.24,11.41,65.4
103,150855.05,80468.0,36276.37,11020.101,374.9,65.4
104,183855.84,100738.0,35278.16,24164.64,267.32,65.5
105,206671.36,105136.0,49768.64,12144.601,386.31,65.5
106,20195.84,14977.0,32105.34,57.09,268.95,65.6
107,179628.95,107140.0,34598.27,16692.77,228.2,65.6
108,189239.69,94145.0,34807.6,19850.02,314.59,65.6
109,169087.52,86560.0,34451.22,26564.15,234.72,65.6
110,139182.4,80640.0,22325.65,13729.28,99.43,65.6
111,160004.33,90700.0,23995.1,11783.03,311.33,65.8
112,102477.76,62736.0,51521.13,429.04,404.24,65.8
113,262143.0,89405.0,56600.41,28323.56,619.4,65.8
114,214449.77,99389.0,40791.67,11911.05,402.61,65.8
115,208580.95,97419.0,54180.14,9053.09,345.56,66.0
116,212051.84,102724.0,35759.1,23654.291,283.62,66.0
117,196842.23,103604.0,41289.91,20412.27,379.79,66.1
118,190376.48,90509.0,35625.89,17464.35,272.21,66.1
119,149070.88,74469.0,55593.55,15848.53,428.69,66.2
120,163014.88,85880.0,29818.281,18358.76,197.23,66.2
121,18788.0,13459.0,1883.97,8.65,9.78,66.2
122,245732.48,116713.0,40136.0,9689.73,254.28,66.2
123,188661.77,99656.0,24147.34,14474.91,104.32,66.2
124,192846.08,103993.0,23555.68,17474.73,189.08,66.3
125,113369.76,56521.0,54569.39,534.57,404.24,66.4
126,161131.05,92353.0,15054.46,9158.62,237.98,66.4
127,206703.84,102733.0,41312.402,21796.27,342.3,66.5
128,179746.56,92936.0,45912.47,22567.85,356.97,66.5
129,182376.33,99477.0,39637.76,18907.17,347.19,66.5
130,126303.52,78669.0,20301.55,10144.72,145.06999,66.5
131,193468.8,99964.0,20163.15,7916.48,177.67,66.5
132,100806.72,64496.0,24886.05,16464.41,340.67,66.6
133,176369.77,83969.0,71646.22,11018.37,652.0,66.7
134,205257.92,102339.0,30726.531,22201.09,303.18,66.7
135,86321.76,49623.0,37146.56,207.6,247.76,66.7
136,115775.52,59898.0,60868.32,456.72,355.34,66.7
137,179875.36,37440.0,241838.44,1487.8,1652.82,66.8
138,8288.0,6405.0,6620.71,119.37,143.44,66.9
139,156303.84,88677.0,18639.02,15095.98,187.45,66.9
140,163574.88,93244.0,22329.11,20593.92,198.86,66.9
141,178816.95,99128.0,22213.201,22102.48,255.91,66.9
142,255101.28,103823.0,42587.41,24756.3,438.47,66.9
143,175300.16,98248.0,21882.77,15962.71,135.29,66.9
144,146658.4,86954.0,30349.39,24192.32,283.62,66.9
145,196275.52,86352.0,212362.69,2207.48,1155.67,67.0
146,181888.0,87237.0,62048.18,29399.621,498.78,67.0
147,189505.12,103703.0,25031.371,9065.2,203.75,67.0
148,169831.2,99463.0,16637.41,16127.061,187.45,67.1
149,126431.2,79555.0,20100.871,15762.03,218.42,67.1
150,187847.52,88420.0,33138.15,46843.21,345.56,67.2
151,174519.52,95763.0,25465.6,14360.73,281.99,67.2
152,195351.52,105938.0,20116.44,13222.391,361.86,67.3
153,179047.69,94816.0,32383.871,20443.41,277.1,67.3
154,170027.2,91401.0,30446.27,18455.64,239.61,67.3
155,151841.77,87792.0,24969.09,17607.94,158.11,67.3
156,262143.0,111532.0,48971.11,17436.67,438.47,67.3
157,57787.52,33947.0,33305.96,174.73,104.32,67.4
158,192969.28,89760.0,44492.14,17654.65,296.66,67.4
159,131760.16,73655.0,47031.78,8195.01,471.07,67.5
160,207049.92,99651.0,48246.242,18374.33,425.43,67.5
161,204410.08,102852.0,33940.87,7765.97,285.25,67.5
162,18594.24,8417.0,10696.59,138.4,109.21,67.6
163,149348.64,90816.0,26840.951,13805.4,259.17,67.6
164,176667.69,95005.0,33657.15,16050.94,280.36,67.6
165,140870.23,87607.0,27885.871,14331.32,156.48,67.6
166,199422.72,86256.0,54152.46,34151.93,515.08,67.6
167,121376.64,78378.0,16031.91,12362.58,203.75,67.7
