,0
0,1.6225451
1,4.14176
2,15.328783
3,3.9282677
4,-0.21349269
5,-0.12809536
6,0.21349262
7,16.09735
8,0.512383
9,6.1058946
10,5.3800187
11,0.042698894
12,0.17079419
13,1.323655
14,6.49018
15,-0.29888976
16,3.4585824
17,1.1528612
18,0.25619158
19,10.0341625
20,2.0922294
21,0.68317693
22,0.12809563
23,8.3689165
24,1.2382579
25,4.6114445
26,-0.59777963
27,2.9462008
28,4.9103336
29,7.0452633
30,11.699404
31,2.2630239
32,2.0068328
33,8.326219
34,1.4944497
35,4.6541424
36,2.8608038
37,22.37404
38,10.290355
39,0.21349262
40,-0.17079413
41,19.470543
42,0.46968454
43,2.4338179
44,5.081128
45,2.732707
46,1.5798464
47,0.12809563
48,2.1349275
49,0.512383
50,0.5977802
51,8.155423
52,0.93936837
53,0.21349262
54,1.323655
55,-0.17079413
56,-0.55508107
57,9.308288
58,6.874467
59,2.775406
60,6.874467
61,0.93936837
62,0.7685745
63,1.7506411
64,5.9350986
65,0.5977802
66,4.2271585
67,1.8787366
68,0.17079419
69,0.8966698
70,1.4517504
71,-0.21349269
72,0.17079419
73,1.8360382
74,-0.21349269
75,4.9103336
76,2.1776266
77,3.0742953
78,4.2698555
79,0.12809563
80,-0.46968392
81,1.323655
82,22.032463
83,1.7506411
84,-0.29888976
85,18.061481
86,1.4944497
87,1.4090524
88,9.393681
89,35.866787
90,0.29889014
91,8.070028
92,5.123827
93,1.323655
94,-0.12809536
95,13.1938505
96,-0.38428694
97,9.009397
98,0.12809563
99,2.1776266
100,9.09479
101,7.7711387
102,6.063195
103,31.127241
104,3.0742953
105,0.08539713
106,23.057219
107,1.4090524
108,0.4269857
109,2.3484209
110,8.155423
111,5.849704
112,0.0
113,11.44321
114,1.7506411
115,129.59012
116,3.0315979
117,18.915459
118,26.900082
119,4.312555
120,2.5192144
121,45.815536
122,7.5149484
123,-0.12809536
124,13.962427
125,1.8360382
126,0.4269857
127,7.8992352
128,0.7258757
129,12.638773
130,2.6473112
131,0.7685745
132,6.5755787
133,7.3868494
134,4.2271585
135,0.46968454
136,3.4585824
137,2.1776266
138,2.0068328
139,11.656705
140,0.0
141,1.4090524
142,1.7933389
143,-0.12809536
144,1.9214356
145,20.708794
146,1.1528612
147,2.2203252
148,8.240822
149,7.3868494
150,5.636209
151,0.21349262
152,-0.29888976
153,2.8608038
154,2.3057222
155,1.1955601
156,3.2023923
157,0.93936837
158,3.5866792
159,3.714775
160,6.831769
161,-0.17079413
162,2.3057222
163,3.1596925
164,8.795904
165,4.483348
166,5.2519217
167,0.7258757
168,6.148591
169,1.280957
170,8.966698
171,14.133225
172,1.6652435
173,-0.34158826
174,0.25619158
175,21.690857
176,2.0068328
177,4.5260463
178,1.280957
179,4.3979526
180,7.6857405
181,30.871052
182,1.1101621
183,18.701965
184,1.280957
185,-0.0853968
186,4.14176
187,4.355253
188,5.593511
189,11.187022
190,2.5192144
191,-0.17079413
192,20.23912
193,4.355253
194,9.948767
195,5.4227157
196,5.3373203
197,10.204957
198,9.222888
199,0.8966698
200,1.0674645
201,0.17079419
202,1.7079422
203,9.308288
204,43.424442
205,57.557625
206,2.0068328
207,0.4269857
208,0.512383
209,0.7258757
210,-0.25619105
211,4.867635
212,18.146893
213,44.278393
214,15.798465
215,25.448347
216,0.21349262
217,3.501282
218,11.614007
219,59.86335
220,2.818105
221,80.44407
222,6.4047823
223,0.38428742
224,4.3979526
225,3.1596925
226,1.280957
227,3.5439792
228,1.4090524
229,4.14176
230,0.7258757
231,2.9888995
232,0.512383
233,1.4517504
234,6.49018
235,1.1528612
236,5.3800187
237,2.690009
238,-0.51238245
239,10.333049
240,0.12809563
241,0.25619158
242,-0.25619105
243,5.3373203
244,16.865938
245,13.791639
246,3.330487
247,0.5977802
248,69.21439
249,19.470543
250,4.7822385
251,2.9035027
252,-0.34158826
253,11.357815
254,0.29889014
255,11.699404
256,4.2271585
257,1.4944497
258,0.17079419
259,2.9462008
260,0.21349262
261,0.7258757
262,1.6225451
263,5.892401
264,0.8966698
265,47.8224
266,11.8275
267,2.2630239
268,10.247651
269,1.1955601
270,1.964134
271,-0.25619105
272,6.49018
273,0.7685745
274,7.9846315
275,1.8787366
276,1.6652435
277,1.7079422
278,1.3663533
279,35.05551
280,7.813837
281,3.5439792
282,0.46968454
283,0.8112727
284,0.5977802
285,0.21349262
286,7.1306596
287,14.090523
288,7.1306596
289,3.7574735
290,0.7685745
291,1.7506411
292,21.605469
293,12.040991
294,6.447483
295,-0.04269843
296,11.144325
297,3.9709666
298,7.8992352
299,1.7933389
300,0.7258757
301,-0.34158826
302,6.49018
303,9.308288
304,3.5866792
305,0.4269857
306,-0.17079413
307,7.301453
308,1.7079422
309,8.710508
310,7.3868494
311,0.5977802
312,3.24509
313,0.12809563
314,-0.42698532
315,0.7685745
316,0.46968454
317,33.34756
318,3.7574735
319,0.17079419
320,8.710508
321,-0.0853968
322,10.546546
323,15.499572
324,4.6968412
325,2.4338179
326,14.133225
327,1.5798464
328,0.68317693
329,0.8539715
330,1.323655
331,3.6293786
332,-0.0853968
333,3.2877884
334,-0.0853968
335,13.065756
336,5.849704
337,1.4517504
338,0.98206717
339,-0.55508107
340,0.21349262
341,0.0
342,7.344152
343,43.55253
344,1.0247653
345,7.5576425
346,-0.6831767
347,0.4269857
348,0.4269857
349,10.461144
350,2.9888995
351,0.68317693
352,23.099915
353,35.09821
354,0.0
355,22.032463
356,24.039278
357,8.240822
358,1.1528612
359,4.9530325
360,8.326219
361,3.6293786
362,2.1776266
363,6.917167
364,12.724169
365,12.7668705
366,16.780527
367,15.157987
368,0.46968454
369,0.93936837
370,1.280957
371,2.818105
372,10.162255
373,2.3057222
374,21.17848
375,20.6661
376,1.280957
377,0.46968454
378,0.21349262
379,-0.12809536
380,5.038431
381,2.732707
382,6.5328784
383,1.1101621
384,4.6968412
385,0.29889014
386,7.002564
387,0.12809563
388,2.4338179
389,43.381737
390,-0.29888976
391,5.2092237
392,0.68317693
393,9.863364
394,-0.38428694
395,2.2203252
396,0.38428742
397,0.6404789
398,2.8608038
399,-0.04269843
400,-0.21349269
401,5.892401
402,5.123827
403,1.9214356
404,11.485913
405,3.330487
406,0.6404789
407,8.070028
408,6.6182775
409,-0.04269843
410,5.508116
411,23.441504
412,3.0742953
413,12.33988
414,0.4269857
415,7.6857405
416,4.355253
417,0.042698894
418,7.4722476
419,28.99233
420,14.261325
421,8.240822
422,1.9214356
423,-0.34158826
424,7.5576425
425,0.3415887
426,0.17079419
427,4.5687466
428,12.211783
429,0.46968454
430,7.002564
431,8.112724
432,0.25619158
433,6.3620853
434,1.5798464
435,-0.55508107
436,157.98463
437,0.042698894
438,0.7258757
439,7.5149484
440,-0.0853968
441,2.6046124
442,-0.34158826
443,13.108453
444,-0.46968392
445,7.301453
446,5.3800187
447,0.6404789
448,5.465415
449,0.5977802
450,2.818105
451,1.7933389
452,3.1169953
453,4.2271585
454,7.7711387
455,9.308288
456,1.3663533
457,0.7258757
458,0.17079419
459,0.0
460,10.162255
461,-0.17079413
462,17.207527
463,-0.04269843
464,2.3911185
465,4.056362
466,7.8565354
467,-0.0853968
468,0.7258757
469,-0.34158826
470,3.8001728
471,1.1955601
472,2.9462008
473,7.429547
474,16.438936
475,9.777967
476,0.0
477,17.933403
478,8.240822
479,18.61657
480,1.3663533
481,6.746373
482,0.042698894
483,0.3415887
484,3.2877884
485,3.24509
486,1.4090524
487,1.1528612
488,1.964134
489,4.355253
490,12.809562
491,22.416746
492,-0.55508107
493,4.3979526
494,10.204957
495,17.292906
496,-0.17079413
497,6.49018
498,-0.38428694
499,2.4765172
500,7.2160583
501,0.12809563
502,47.779686
503,1.280957
504,0.512383
505,6.447483
506,0.8112727
507,60.973526
508,21.776266
509,0.6404789
510,18.40308
511,0.93936837
512,24.423563
513,-0.6831767
514,1.1955601
515,16.396246
516,11.656705
517,3.501282
518,13.578146
519,-0.0853968
520,2.6473112
521,4.3979526
522,4.7822385
523,2.3484209
524,15.157987
525,0.38428742
526,0.25619158
527,1.7506411
528,5.593511
529,5.294622
530,2.3057222
531,4.8249364
532,8.155423
533,3.415884
534,0.29889014
535,4.3979526
536,8.966698
537,3.1169953
538,0.55508125
539,3.1169953
540,2.818105
541,1.0674645
542,0.55508125
543,4.355253
