,0
0,0.0210769
1,3.4565847
2,-0.06323005
3,9.294836
4,3.5830455
5,31.024958
6,8.262084
7,32.09986
8,12.47743
9,5.248106
10,9.96929
11,12.161276
12,20.149351
13,4.573651
14,16.671698
15,-0.21076722
16,18.02061
17,5.54318
18,0.6533786
19,3.1615098
20,48.898014
21,0.6112251
22,60.490227
23,9.568834
24,0.168614
25,36.23092
26,17.915216
27,18.210304
28,15.027713
29,1.9179832
30,-0.08430689
31,47.780952
32,0.25292096
33,1.3910645
34,26.114082
35,0.042153478
36,3.2458177
37,0.1896908
38,40.256554
39,4.2575
40,6.9764004
41,20.2969
42,-0.23184398
43,9.147301
44,0.2950745
45,0.3583046
46,41.71085
47,1.6229084
48,37.369057
49,9.884991
50,0.06323018
51,40.846714
52,0.8009159
53,4.8687243
54,0.21076742
55,16.186935
56,13.257267
57,3.8359663
58,4.004579
59,28.474663
60,-0.042153314
61,7.524393
62,9.020837
63,12.730342
64,0.21076742
65,39.835033
66,1.538602
67,31.06712
68,-0.33722764
69,-0.18969058
70,-0.10538363
71,13.531265
72,-0.10538363
73,0.27399758
74,35.85152
75,9.020837
76,-0.16861378
77,0.77983904
78,5.7539477
79,7.8827024
80,9.231608
81,-0.06323005
82,-0.21076722
83,34.544777
84,0.63230217
85,1.559678
86,16.292309
87,0.0210769
88,0.25292096
89,9.96929
90,-0.18969058
91,3.498739
92,4.299655
93,-0.3161509
94,11.550049
95,12.624969
96,12.730342
97,36.42059
98,16.292309
99,0.25292096
100,0.06323018
101,1.6861385
102,-0.12646027
103,13.531265
104,11.002053
105,-0.10538363
106,2.3816707
107,4.278576
108,2.950743
109,-0.21076722
110,22.868254
111,13.130809
112,-0.14753707
113,-0.14753707
114,1.2646036
115,7.1450114
116,0.0
117,1.7704458
118,11.44466
119,5.1637993
120,1.2013739
121,0.0
122,0.14753726
123,1.5175245
124,0.0210769
125,-0.06323005
126,-0.06323005
127,27.083591
128,0.2950745
129,18.779373
130,28.85406
131,18.357843
132,-0.021076674
133,5.479951
134,29.212353
135,10.3486805
136,0.10538359
137,6.8710136
138,12.47743
139,0.6744552
140,4.7211895
141,-0.23184398
142,6.955322
143,-0.10538363
144,15.112018
145,31.720486
146,-0.12646027
147,-0.21076722
148,-0.08430689
149,2.2973638
150,5.5010285
151,2.2341335
152,-0.18969058
153,16.77708
154,10.517296
155,5.817178
156,2.8664355
157,65.42215
158,6.7867093
159,0.23184428
160,0.25292096
161,2.8032057
162,25.67146
163,66.07558
164,6.7867093
165,20.760584
166,-0.06323005
167,0.0
168,8.304234
169,0.042153478
170,0.1896908
171,20.086128
172,21.139973
173,-0.25292072
174,9.927139
175,0.06323018
176,2.8875132
177,26.219454
178,-0.021076674
179,3.1404335
180,1.4542949
181,4.5104203
182,3.22474
183,19.91752
184,0.8852226
185,3.8781195
186,7.9037743
187,34.523678
188,0.0
189,6.027944
190,0.10538359
191,24.912699
192,7.1660905
193,20.760584
194,2.824283
195,9.147301
196,0.2950745
197,-0.21076722
198,-0.16861378
199,7.967005
200,2.023367
201,40.657024
202,6.8499403
203,7.292549
204,9.653144
205,0.08430692
206,23.669182
207,7.292549
208,0.40045798
209,14.142486
210,12.161276
211,3.730581
212,0.5901488
213,0.168614
214,20.2969
215,25.713614
216,3.8781195
217,35.977978
218,9.737452
219,24.723001
220,128.52591
221,9.379142
222,0.0
223,15.449242
224,10.58052
225,10.2011385
226,4.383962
227,5.54318
228,0.3372278
229,28.453587
230,5.437798
231,3.857043
232,14.416483
233,1.2435272
234,3.9202719
235,0.06323018
236,-0.021076674
237,3.7095065
238,-0.18969058
239,0.10538359
240,-0.3161509
241,12.646044
242,10.137913
243,18.125994
244,0.14753726
245,13.678797
246,27.800209
247,-0.33722764
248,13.8052635
249,5.943638
250,0.25292096
251,-0.06323005
252,4.9108806
253,6.0700984
254,0.7587626
255,35.746147
256,-0.33722764
257,3.4776618
258,2.444901
259,7.48224
260,26.999285
261,1.9601367
262,-0.10538363
263,-0.21076722
264,1.2224511
265,29.507435
266,5.8382554
267,0.99060684
268,67.782776
269,18.673994
270,-0.16861378
271,38.886574
272,0.06323018
273,0.168614
274,23.163328
275,9.737452
276,18.062756
277,0.48476508
278,4.4261146
279,10.116832
280,3.9624262
281,6.7867093
282,-0.12646027
283,1.03276
284,9.463457
285,2.1709044
286,2.8875132
287,0.042153478
288,5.859331
289,0.168614
290,40.172253
291,2.824283
292,-0.46368808
293,15.259561
294,9.358072
295,22.214872
296,8.852233
297,12.435278
298,17.451534
299,18.800453
300,16.144781
301,1.0749135
302,7.3347073
303,32.310627
304,-0.27399746
305,-0.21076722
306,24.280407
307,3.0350492
308,0.1896908
309,9.96929
310,2.2130568
311,5.4588737
312,3.4144316
313,8.493928
314,6.2387133
315,9.884991
316,0.8009159
317,79.923
318,-0.042153314
319,7.566548
320,5.7961016
321,8.936534
322,18.25245
323,-0.33722764
324,31.615103
325,0.12646052
326,22.446712
327,50.373405
328,2.4870553
329,-0.12646027
330,17.725538
331,9.210532
332,0.0210769
333,0.0
334,-0.12646027
335,8.59931
336,1.7282923
337,17.535841
338,18.02061
339,-0.27399746
340,20.507652
341,25.945457
342,4.8054967
343,3.0772028
344,28.706524
345,2.2130568
346,0.042153478
347,18.779373
348,3.498739
349,-0.33722764
350,19.643509
351,-0.18969058
352,10.58052
353,0.10538359
354,1.3699876
355,0.23184428
356,0.50584155
357,23.331953
358,0.168614
359,30.055428
360,-0.06323005
361,-0.042153314
362,35.64077
363,3.498739
364,17.493681
365,0.0
366,14.690488
367,-0.10538363
368,0.40045798
369,2.7821286
370,28.706524
371,1.0116833
372,4.7633424
373,17.97846
374,0.3583046
375,14.964477
376,1.7493684
377,10.58052
378,4.383962
379,10.938829
380,3.22474
381,3.6673508
382,-0.12646027
383,5.0794945
384,23.98532
385,8.999767
386,0.50584155
387,0.6744552
388,49.23527
389,0.37938145
390,28.495758
391,25.460705
392,5.058415
393,0.12646052
394,12.519583
395,34.10215
396,3.1404335
397,27.65267
398,2.5292084
399,5.6907187
400,12.856811
401,15.0909395
402,2.5713615
403,2.2341335
404,5.4588737
405,17.072147
406,16.439857
407,1.285681
408,7.4400907
409,3.1404335
410,-0.08430689
411,-0.12646027
412,5.2691846
413,28.474663
414,26.619913
415,-0.14753707
416,3.4144316
417,2.1919806
418,14.416483
419,0.14753726
420,24.048565
421,3.2879715
422,8.746842
423,-0.3583044
424,3.7095065
425,-0.16861378
426,5.4588737
427,1.3699876
428,13.847415
429,14.332173
430,8.746842
431,0.12646052
432,-0.021076674
433,3.2879715
434,1.3067579
435,-0.18969058
436,12.034818
437,5.9857917
438,-0.042153314
439,14.648332
440,0.0
441,0.042153478
442,0.042153478
443,0.0
444,7.819472
445,3.3301246
446,0.12646052
447,54.54658
448,0.7166087
449,5.711796
450,-0.06323005
451,1.791523
452,11.44466
453,10.812362
454,0.08430692
455,3.9413502
456,0.50584155
457,29.802507
458,7.1450114
459,37.95919
460,20.339054
461,11.718668
462,-0.042153314
463,27.29438
464,0.06323018
465,4.362885
466,15.955091
467,3.2458177
468,0.7587626
469,26.451311
470,-0.21076722
471,0.3583046
472,0.3161513
473,24.701944
474,-0.25292072
475,2.1287506
476,0.06323018
477,0.6112251
478,0.14753726
479,6.807788
480,3.4776618
481,-0.08430689
482,12.920032
483,-0.08430689
484,0.6533786
485,18.884762
486,6.2387133
487,-0.27399746
488,0.0210769
489,0.2950745
490,9.96929
491,7.018553
492,9.147301
493,0.8430694
494,5.332413
495,0.2950745
496,2.4027474
497,8.767922
498,8.114539
499,5.964717
500,41.921608
501,52.207047
502,0.042153478
503,1.2224511
504,0.08430692
505,-0.14753707
506,0.06323018
507,51.827667
508,8.493928
509,11.212818
510,12.414198
511,1.0538365
512,14.88018
513,41.963787
514,12.456355
515,-0.3583044
516,1.8969058
517,1.8969058
518,12.182351
519,25.566065
520,9.674218
521,8.00916
522,15.322786
523,0.042153478
524,1.6861385
525,19.959663
526,9.653144
527,67.23476
528,0.042153478
529,20.339054
530,119.23106
531,23.521626
532,8.831147
533,8.1567
534,10.095755
535,6.280866
536,11.971579
537,0.63230217
538,3.9624262
539,1.3910645
540,0.37938145
541,1.285681
542,43.755295
543,37.643063
544,0.10538359
545,1.8758299
546,17.472612
547,-0.23184398
548,1.4542949
549,1.791523
550,0.23184428
551,5.0794945
552,2.2341335
553,8.262084
554,7.9037743
555,9.674218
556,5.3745675
557,15.428176
558,0.5269186
559,16.292309
560,-0.12646027
561,-0.25292072
562,0.5901488
563,6.0490212
564,6.470556
565,3.2458177
566,0.3161513
567,0.73768586
568,0.27399758
569,24.954845
570,32.458176
571,33.195854
572,3.4144316
573,12.456355
574,16.77708
575,0.3161513
576,1.7493684
577,7.1660905
578,32.964024
579,0.42153487
580,22.805037
581,9.547759
582,0.0
583,2.0655205
584,42.427452
585,2.7399755
586,6.7867093
587,2.592438
588,2.592438
589,4.8265715
590,2.971819
591,3.9202719
592,2.6556687
593,2.2762876
594,50.33124
595,11.170668
596,14.311108
597,1.1592205
598,38.907635
599,0.40045798
600,10.390833
601,0.44261146
602,25.692528
603,7.735159
604,28.938366
605,1.3489107
606,3.6041214
607,1.03276
608,26.324833
609,23.353022
610,4.6158037
611,11.67651
612,5.0373406
613,15.491394
614,9.632065
615,21.413963
616,0.6533786
617,3.1615098
618,0.0210769
619,10.812362
620,1.0959904
621,0.3161513
622,8.788996
623,9.189455
624,4.9741096
625,48.37111
626,35.556442
627,0.06323018
628,4.004579
629,1.0116833
630,0.5269186
631,8.4306965
632,4.1942716
633,5.3745675
634,-0.12646027
635,10.896672
636,8.852233
637,3.0772028
638,25.418535
639,0.14753726
640,6.1754847
641,-0.2950742
642,12.646044
643,0.48476508
644,22.488876
645,7.587628
646,-0.042153314
647,-0.12646027
648,17.156467
649,0.5479949
650,6.955322
651,9.484525
652,10.812362
653,0.10538359
654,3.2458177
655,1.2646036
656,1.4332184
657,10.496214
658,6.3019447
659,3.0561266
660,-0.33722764
661,0.3161513
662,0.10538359
663,3.0982792
664,4.341808
665,0.08430692
666,31.256798
667,-0.12646027
668,31.109245
669,0.042153478
670,-0.12646027
671,3.1615098
672,30.561262
673,1.4121414
674,-0.2950742
675,4.0467334
676,-0.08430689
677,4.4682674
678,28.306065
679,-0.14753707
680,6.8920918
681,13.151879
682,11.634358
