,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,262143.0,104792.0,74981.664,48019.61,1864.72,62.2
1,262143.0,110701.0,62015.312,37641.34,1779.96,62.3
2,203387.52,101552.0,27934.31,10867.86,849.23,62.4
3,189508.48,101240.0,34734.94,10283.12,492.26,62.4
4,222176.64,110124.0,28254.36,12900.61,885.09,62.5
5,201210.23,100924.0,38392.16,16505.93,792.18,62.5
6,168527.52,95482.0,19208.19,12430.05,511.82,62.5
7,262143.0,105355.0,56391.082,14343.43,1768.55,62.5
8,109622.24,64246.0,31577.69,468.83002,958.44,62.6
9,182594.72,93454.0,40885.09,12924.83,792.18,62.6
10,188911.52,93860.0,34503.12,11689.61,769.36,62.7
11,203754.88,97668.0,38506.34,13616.83,764.47,62.8
12,194933.77,108860.0,35800.62,13452.48,612.88,62.8
13,198453.92,101536.0,28157.48,9987.29,726.98,62.8
14,232963.36,93867.0,33055.11,11552.94,637.33,62.9
15,223834.23,99640.0,39165.47,16492.09,1155.67,62.9
16,180549.6,89949.0,41322.78,17637.35,1123.07,62.9
17,262143.0,115224.0,52382.67,17306.92,1105.14,63.0
18,194160.95,100938.0,33842.26,12770.86,740.02,63.0
19,244379.52,110104.0,70992.28,24792.63,1374.09,63.0
20,189964.33,97700.0,32572.44,7712.34,709.05,63.0
21,219739.52,95800.0,40492.38,26225.07,1212.72,63.1
22,87181.92,58481.0,42454.2,354.65,568.87,63.1
23,248084.48,109346.0,53074.67,17642.541,1245.32,63.1
24,18724.16,8160.0,26093.59,126.29,128.77,63.2
25,250992.0,103416.0,42170.48,14993.91,966.59,63.2
26,262143.0,93229.0,73497.32,5439.12,1665.86,63.2
27,262143.0,91880.0,102720.484,79797.984,2868.8,63.2
28,256138.4,96017.0,112176.664,59761.12,1990.23,63.3
29,115850.56,40414.0,20199.48,10414.601,647.11,63.3
30,17980.48,17349.0,1164.29,1425.52,-14.67,63.4
31,262143.0,97541.0,50981.37,19787.74,1051.35,63.4
32,15076.32,10737.0,3425.4001,50.170002,-8.15,63.4
33,242369.12,97581.0,60086.36,13836.54,1036.68,63.5
34,194078.08,105440.0,36655.242,13262.18,779.14,63.5
35,233270.23,108962.0,54342.76,24996.77,1489.82,63.6
36,20993.28,6236.0,26069.371,55.36,169.52,63.6
37,200382.56,110188.0,33357.86,13383.28,710.68,63.6
38,191336.33,101057.0,39354.04,12122.11,795.44,63.7
39,14668.64,14475.0,2449.68,268.15,-22.82,63.7
40,189284.48,87781.0,28173.05,13985.32,661.77997,63.7
41,262143.0,116427.0,81367.09,41212.06,1952.74,63.8
42,48793.92,39541.0,5973.69,4414.96,192.34,63.8
43,232485.12,106920.0,48512.66,5591.36,1406.69,63.8
44,181690.88,94549.0,36096.45,13002.68,940.51,63.8
45,194052.33,98364.0,35546.31,10814.23,669.93,63.8
46,102944.8,79704.0,12779.51,6119.0103,246.13,63.9
47,204790.88,99588.0,38862.72,7196.8003,842.71,64.0
48,191546.88,100892.0,19746.22,18225.55,528.12,64.0
49,217156.8,106921.0,41964.61,16021.53,899.76,64.0
