,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,209575.52,105605.0,51946.71,16564.75,599.84,52.3
1,236373.77,108144.0,41969.8,19663.18,756.32,52.3
2,215529.44,105340.0,28595.17,13687.76,594.95,52.3
3,197560.16,99756.0,37741.68,15511.18,1106.77,52.4
4,231420.0,106948.0,32446.15,17210.041,753.06,52.5
5,213274.88,91835.0,58934.18,19440.01,1137.74,52.5
6,169295.84,93935.0,24482.96,13893.63,767.73,52.5
7,175488.33,93767.0,39923.21,12535.58,658.52,52.5
8,199216.64,94725.0,50524.652,36951.07,2079.88,52.6
9,68463.36,35788.0,36212.36,1513.75,391.2,52.6
10,213544.8,104880.0,42090.902,9322.97,1165.45,52.6
11,228916.8,112141.0,52021.1,21739.18,1292.59,52.6
12,172300.8,93990.0,36065.31,9175.92,547.68,52.7
13,208411.84,90756.0,48879.42,68594.5,2495.53,52.7
14,112171.36,34601.0,48976.3,1947.98,1070.91,52.7
15,180453.28,93572.0,35210.69,20178.72,1054.61,52.7
16,220336.48,104876.0,54159.38,27076.23,1698.46,52.7
17,209499.36,104070.0,46706.54,4537.79,580.27997,52.8
18,262143.0,105073.0,42227.57,17585.45,1276.29,52.8
19,222504.8,110697.0,45992.05,13085.72,845.97,52.8
20,13268.64,5700.0,15948.87,100.340004,172.78,52.8
21,179076.8,94741.0,27449.91,10336.75,435.21,52.9
22,213960.33,97551.0,40687.87,27359.951,1191.53,52.9
23,262143.0,111897.0,75274.03,31141.73,2224.95,52.9
24,240252.33,105337.0,39426.7,9539.22,1080.69,52.9
25,158832.8,89278.0,28833.91,13371.17,575.39,53.0
26,262143.0,115984.0,77291.21,30896.07,2011.42,53.0
27,177807.84,96773.0,24358.4,9495.97,562.35,53.0
28,170763.05,101030.0,19663.18,7432.08,396.09,53.1
29,198107.84,95562.0,31996.35,15362.4,1098.62,53.1
30,199830.4,108209.0,25751.05,13016.5205,691.12,53.1
31,153004.33,84361.0,30863.201,11743.24,635.7,53.1
32,189157.92,103664.0,32472.1,16092.46,1017.12,53.2
33,185242.4,97441.0,40229.42,13904.01,700.9,53.2
34,170405.77,93337.0,28775.09,10976.851,707.42,53.2
35,197445.92,98972.0,34695.15,14499.13,696.01,53.2
36,194111.69,102262.0,42329.64,9809.101,689.49,53.2
37,208007.52,113532.0,38658.582,9746.82,648.74,53.2
38,210984.48,102916.0,39919.75,15154.8,1215.98,53.2
39,198157.12,102367.0,44395.26,19730.65,1225.76,53.2
40,218149.12,100431.0,47725.51,23813.451,950.29,53.3
41,167373.92,101054.0,25865.23,10710.43,991.04,53.3
42,236587.69,103409.0,32136.48,18722.06,699.27,53.3
43,262143.0,107125.0,53287.46,18351.84,1581.1,53.3
44,133820.95,76789.0,32302.56,11966.41,609.62,53.4
45,196682.08,98283.0,46407.25,17139.11,844.34,53.4
46,119960.96,21248.0,262143.0,826.94,1494.71,53.4
47,211874.88,90948.0,50355.11,33871.67,1709.87,53.4
48,262143.0,94000.0,67767.56,37791.85,2484.1199,53.5
49,200189.92,103653.0,36790.18,4653.7,513.45,53.6
50,154497.28,88696.0,28775.09,15329.53,428.69,53.6
51,86886.24,26166.0,57904.832,429.04,821.52,53.6
52,142293.77,85398.0,15879.67,8765.91,133.66,53.7
53,155739.36,83155.0,30428.97,18384.71,889.98,53.7
54,162130.08,80047.0,45547.44,14485.29,938.88,53.7
55,179017.44,96056.0,28039.84,11267.49,614.51,53.7
56,132099.52,55529.0,35605.13,41539.03,2022.83,53.7
57,208137.44,101725.0,49412.26,14903.95,868.79,53.8
58,191252.33,89248.0,66705.34,15549.24,1092.1,53.8
59,255000.48,104698.0,48052.48,22175.14,1017.12,53.8
60,207370.23,100428.0,42618.55,21453.73,1098.62,53.9
61,30674.56,26620.0,3695.28,1216.1901,189.08,53.9
62,230191.36,108573.0,40149.84,10976.851,645.48,54.0
63,184552.48,93919.0,21910.451,12239.75,666.67,54.0
64,66588.48,37826.0,10059.95,6522.1,485.74,54.0
65,240909.77,101061.0,60961.742,24758.03,1711.5,54.0
66,156343.05,79431.0,57060.59,23524.541,1771.8099,54.0
67,183261.12,102047.0,31736.85,16147.82,709.05,54.0
68,230720.0,99226.0,83737.19,19984.96,2412.4,54.1
69,262143.0,108700.0,106299.85,38021.94,2151.6,54.1
