,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,174924.95,97512.0,35297.19,6189.94,529.75,52.5
1,14333.76,11558.0,4420.15,105.53,110.84,52.6
2,177479.69,91700.0,33188.32,17841.49,472.7,52.6
3,181554.23,93064.0,48524.77,27250.96,466.18,52.6
4,196343.84,97649.0,31011.98,14217.141,355.34,52.7
5,166880.0,93595.0,21469.3,16448.84,339.04,52.9
6,189803.05,99472.0,33449.55,15912.54,260.8,52.9
7,204164.8,100777.0,28171.32,14706.73,329.26,52.9
8,179079.05,100846.0,27161.0,9284.91,345.56,53.0
9,192909.92,90544.0,34814.52,12667.061,418.91,53.0
10,176116.64,91700.0,41395.44,16317.36,495.52,53.0
11,213276.0,98524.0,37075.63,5878.54,376.53,53.0
12,137646.88,88548.0,27022.6,8009.9,365.12,53.1
13,167624.8,96006.0,32041.33,11867.8,255.91,53.1
14,205186.23,97666.0,39264.082,20301.55,594.95,53.1
15,33158.72,24954.0,8594.64,67.47,120.62,53.2
16,178105.77,98733.0,21479.68,11435.3,236.35,53.2
17,124676.164,71955.0,26072.83,11426.65,374.9,53.3
18,193453.12,95204.0,35598.21,12123.84,420.54,53.3
19,192953.6,105696.0,38144.77,22903.47,343.93,53.3
20,206786.72,101752.0,40051.23,21427.78,368.38,53.3
21,200930.23,104001.0,53145.6,12329.71,1625.11,53.4
22,192034.08,102232.0,25463.871,10399.03,312.96,53.4
23,164505.6,79559.0,32757.55,39584.13,513.45,53.4
24,175458.08,93997.0,26795.97,7765.97,247.76,53.5
25,175118.72,99188.0,21348.201,16260.2705,148.33,53.5
26,250071.36,114787.0,28676.48,23756.36,397.72,53.5
27,215542.88,104338.0,37487.37,26257.94,516.71,53.5
28,172467.69,92851.0,35843.87,9838.51,326.0,53.5
29,235547.2,106820.0,53925.832,25865.23,475.96,53.6
30,204828.95,88720.0,39840.17,30318.25,567.24,53.6
31,192215.52,101292.0,31428.91,9810.83,197.23,53.6
32,190192.8,97802.0,35409.64,12871.2,259.17,53.6
33,150670.23,80865.0,28674.75,26882.47,479.22,53.6
34,206390.23,104810.0,39963.0,15739.54,456.4,53.6
35,187685.12,94733.0,26785.59,11988.9,477.59,53.6
36,202258.56,102853.0,30209.26,12222.45,143.44,53.7
37,262143.0,100038.0,59044.902,39201.8,678.08,53.7
38,240434.88,107800.0,61878.64,13073.61,616.14,53.8
39,27296.64,21350.0,5065.44,-24.220001,19.56,53.8
40,161235.2,84413.0,33788.63,12995.76,339.04,53.8
41,158540.48,74512.0,37449.31,20216.78,329.26,53.9
42,215565.28,109109.0,40303.81,10494.18,475.96,53.9
43,113942.08,67954.0,46924.52,16428.08,381.42,53.9
44,222827.36,86326.0,59691.92,18260.15,694.38,53.9
45,187881.12,102497.0,27017.41,16803.49,407.5,53.9
46,108962.56,64972.0,29166.07,22503.84,534.64,53.9
47,119734.72,69613.0,18952.15,21017.77,299.92,53.9
48,202624.8,97749.0,53695.742,19080.17,332.52,54.0
49,227224.48,97642.0,50837.78,40457.78,614.51,54.0
50,215387.2,96108.0,47713.402,33792.09,1983.71,54.0
51,256305.28,118197.0,74889.97,39502.82,769.36,54.0
52,177916.48,88688.0,105184.0,37584.25,1220.87,54.0
53,227025.12,99552.0,36611.992,20965.871,459.66,54.1
54,174769.28,94221.0,31854.49,10229.49,283.62,54.1
55,262143.0,100476.0,79086.95,26493.22,784.02997,54.2
56,261272.48,108350.0,58114.16,12411.0205,531.38,54.2
57,200229.12,99445.0,47723.78,22009.06,386.31,54.2
58,221717.44,96433.0,43864.152,41244.93,665.04,54.2
59,155094.23,79026.0,54581.5,10665.45,674.82,54.3
60,262143.0,93742.0,51922.492,51348.13,653.63,54.3
61,67165.28,33712.0,39513.2,216.25,454.77,54.4
62,262143.0,108014.0,37710.54,29970.52,529.75,54.4
63,200140.64,97544.0,29906.51,15869.29,503.67,54.4
64,180669.44,90780.0,31184.98,13499.19,251.02,54.5
65,177919.84,92469.0,23694.08,15914.2705,208.64,54.5
66,90231.68,44133.0,49813.62,228.36,652.0,54.5
67,188858.88,101321.0,31582.88,12142.87,298.29,54.5
68,175789.6,87776.0,38544.402,15180.75,293.4,54.6
69,186749.92,101984.0,27788.99,12793.351,159.74,54.6
70,219465.12,109193.0,59709.22,16486.9,425.43,54.7
71,176431.36,102033.0,22830.81,16306.98,167.89,54.7
72,74393.76,44620.0,48628.57,316.59,415.65,54.9
73,160470.23,89198.0,25529.61,18443.53,270.58,54.9
74,182836.64,88502.0,53128.3,16016.34,404.24,55.0
75,219132.48,106808.0,42237.95,13213.74,427.06,55.0
76,161288.95,85210.0,35122.46,16272.38,278.73,55.0
77,176181.6,98628.0,30339.01,9610.15,342.3,55.1
78,216245.12,103531.0,35259.13,10862.67,394.46,55.1
79,221428.48,87021.0,110128.34,42445.55,1185.01,55.1
80,222378.23,98846.0,64297.18,20744.43,720.46,55.3
81,186857.44,102128.0,31534.44,6042.89,334.15,55.3
82,238944.16,105455.0,32544.76,35594.75,546.05,55.4
83,178739.69,94080.0,33165.832,12734.53,469.44,55.4
84,17013.92,5176.0,12456.0,76.12,164.63,55.5
85,195811.84,101916.0,30185.041,5561.95,330.88998,55.6
86,160980.95,90105.0,27913.55,12149.79,182.56,55.7
87,170080.95,95116.0,32617.42,14324.4,396.09,55.8
88,16989.28,7264.0,34845.66,122.83,179.3,55.9
89,172704.0,93725.0,39350.582,13781.18,383.05,56.1
90,161776.16,95116.0,24623.09,18197.871,363.49,56.1
91,215909.12,103537.0,25102.3,15576.92,270.58,56.1
92,155655.36,93118.0,29719.67,8930.26,210.27,56.3
93,209247.36,96546.0,38784.87,11466.44,415.65,56.3
94,107014.88,64713.0,19915.76,18753.201,312.96,56.6
95,115980.484,73911.0,24782.25,9596.311,213.53,56.9
96,184412.48,97402.0,28737.031,17886.47,352.08,56.9
97,200906.72,97915.0,26200.85,16000.7705,345.56,57.0
98,256037.6,103440.0,56718.05,11881.64,746.54,57.0
99,160136.48,94317.0,24022.78,10675.83,145.06999,57.2
100,16751.84,13156.0,30041.451,984.37,2123.89,57.2
