,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,261420.33,105961.0,61826.742,20969.33,1463.74,61.0
1,262143.0,116060.0,42788.09,22252.99,1240.43,61.0
2,188772.64,108346.0,38885.21,41078.85,1802.78,61.0
3,245915.05,112898.0,32923.63,15680.72,1002.45,61.0
4,10278.24,5520.0,8541.01,60.55,21.19,61.1
5,262143.0,104268.0,83410.22,34577.51,2172.79,61.1
6,217980.0,101961.0,21535.041,15118.47,1030.16,61.1
7,253178.23,109829.0,90345.79,36887.06,1898.95,61.2
8,262143.0,107661.0,58728.312,19979.77,1431.14,61.2
9,239888.33,100155.0,63729.742,5689.97,1080.69,61.2
10,207372.48,104880.0,59980.832,16068.24,889.98,61.3
11,193469.92,100002.0,27899.71,8271.13,464.55,61.3
12,195233.92,96926.0,35997.84,10777.9,506.93,61.3
13,221055.52,111957.0,40193.09,15696.29,818.26,61.3
14,262143.0,115888.0,262143.0,15573.46,2387.95,61.4
15,258789.44,114006.0,37665.56,16023.26,743.27997,61.4
16,213464.16,98552.0,24109.28,9869.65,920.95,61.4
17,186314.23,97836.0,35951.13,11217.32,643.85,61.4
18,220968.16,101192.0,43019.91,10167.21,925.84,61.4
19,181100.64,88524.0,34260.92,10336.75,744.91,61.4
20,181548.64,88626.0,35596.48,6842.15,699.27,61.5
21,262143.0,97173.0,38428.492,5658.83,782.4,61.5
22,195721.12,98306.0,42357.32,16749.86,914.43,61.5
23,200664.8,88401.0,36579.12,8336.87,859.01,61.5
24,253606.08,111055.0,31703.98,27261.34,1657.71,61.5
25,240872.8,108212.0,55072.82,6907.89,1002.45,61.6
26,193091.36,91686.0,48479.79,18493.701,1374.09,61.6
27,207521.44,108110.0,31985.97,12367.7705,785.66,61.6
28,6535.2,6601.0,596.85004,543.22003,86.39,61.6
29,220010.56,110844.0,31970.4,21901.8,1131.22,61.6
30,222019.84,105549.0,51875.78,21756.48,1131.22,61.6
31,184777.6,101044.0,31458.32,12905.8,572.13,61.7
32,262143.0,117868.0,47265.332,13673.92,1519.16,61.7
33,262143.0,109217.0,106228.92,26529.55,2021.2,61.7
34,262143.0,103356.0,73421.2,25285.68,2329.27,61.7
35,248951.36,87367.0,77875.95,36996.05,3473.53,61.7
36,205413.6,96520.0,63119.05,20606.03,1871.24,61.9
37,209870.08,107209.0,40137.73,16350.23,1191.53,61.9
38,179044.33,93676.0,101312.26,25811.6,2568.88,62.0
39,237469.12,113074.0,48559.37,20557.59,832.93,62.0
40,245668.64,92332.0,47040.43,21592.13,976.37,62.0
41,29078.56,27585.0,3876.93,655.67,83.13,62.0
42,250533.92,109822.0,47088.87,16796.57,704.16,62.0
43,262143.0,124834.0,72743.04,49151.03,2929.11,62.1
44,211034.88,107321.0,52555.67,14881.46,875.31,62.1
45,222995.36,97792.0,48029.992,22368.9,1132.85,62.1
46,256477.77,113989.0,32901.14,10855.75,700.9,62.1
47,213535.84,101049.0,32380.41,14782.851,603.1,62.2
48,207397.12,104897.0,29178.18,15476.58,859.01,62.2
49,212821.28,103500.0,43988.71,27219.82,1683.79,62.2
50,199136.0,91328.0,35203.77,13869.41,919.32,62.2
51,262143.0,111080.0,53097.16,20228.89,1568.0599,62.3
52,153592.33,84032.0,34347.42,14359.0,919.32,62.3
53,35990.082,10131.0,69635.96,122.83,365.12,62.4
54,262143.0,86692.0,92970.2,74668.53,2534.65,62.4
55,234277.12,100097.0,45632.21,25495.01,1910.36,62.4
56,167199.2,93697.0,21574.83,15893.51,862.27,62.4
57,181706.56,98492.0,36508.19,11822.82,640.59,62.4
58,73715.04,30948.0,43822.63,506.89,1116.55,62.5
59,231094.08,99197.0,52187.18,27507.0,1553.39,62.5
60,165525.92,90048.0,31657.27,12160.17,1189.9,62.5
61,262143.0,121172.0,88217.89,26944.75,2105.96,62.6
62,262143.0,109465.0,96726.03,32198.76,2878.58,62.6
63,176993.6,102025.0,26744.07,12988.84,836.19,62.7
64,262143.0,115168.0,73964.42,20420.92,2552.58,62.7
65,205252.33,95395.0,57910.02,16552.64,1238.8,62.7
66,262143.0,108712.0,94413.02,30512.01,2146.71,62.7
67,187287.52,101888.0,28915.22,13189.5205,873.68,62.8
68,173240.48,93963.0,39283.11,14857.24,585.17,62.8
69,152878.88,79989.0,24951.791,8660.38,471.07,62.8
70,258118.56,107130.0,61693.53,21460.65,1810.93,62.8
71,223027.84,109393.0,23199.3,7913.02,859.01,62.9
72,202352.64,101572.0,48249.7,9457.91,533.01,62.9
73,262143.0,111757.0,45905.55,15244.76,899.76,63.0
74,262143.0,124168.0,97668.88,29368.48,2283.63,63.0
75,262143.0,97894.0,50164.812,15711.86,863.9,63.0
76,213895.36,106333.0,31311.27,10708.7,583.54,63.1
77,218077.44,98158.0,49849.95,14331.32,984.52,63.1
78,206911.05,97718.0,51884.43,16500.74,1010.6,63.1
79,262143.0,108459.0,42059.76,26949.94,1217.61,63.1
80,262143.0,100571.0,75123.52,36549.71,1750.62,63.1
81,262143.0,93247.0,82126.56,36845.54,2159.75,63.1
82,262143.0,107082.0,35978.81,22102.48,1229.02,63.2
83,262143.0,101374.0,87726.57,15191.13,2257.55,63.2
84,262143.0,116804.0,56204.242,26301.19,1253.47,63.2
85,209679.69,101289.0,32741.98,11075.46,788.92,63.2
86,213485.44,103929.0,27484.51,18336.27,1201.3099,63.2
87,208467.84,95594.0,45322.54,21081.78,1074.17,63.3
88,247925.44,109509.0,68203.52,16153.01,1243.69,63.3
89,236517.12,100869.0,56394.54,16223.94,973.11,63.3
90,227494.4,108245.0,34343.96,16390.02,916.06,63.3
91,262143.0,109717.0,75587.164,22244.34,1349.64,63.4
92,203044.8,103749.0,52581.62,15009.48,1235.54,63.4
93,150763.2,83704.0,33963.36,11315.93,717.2,63.4
94,259460.33,102818.0,64177.812,13471.51,1214.35,63.5
95,214093.6,100971.0,52028.02,16474.791,997.56,63.5
96,230379.52,112186.0,49263.48,18395.09,1108.4,63.5
97,39917.92,26226.0,2626.1401,4228.12,246.13,63.5
98,262143.0,111965.0,57109.03,28425.63,1885.91,63.5
99,225583.69,109316.0,59325.16,9585.93,1111.66,63.5
100,262143.0,96280.0,118117.484,51363.7,3706.6199,63.5
101,220813.6,99373.0,40539.09,11414.54,1111.66,63.6
102,12735.5205,10229.0,1707.51,347.73,101.06,63.7
103,221313.12,108565.0,49888.01,25155.93,1595.77,63.7
104,223666.23,96516.0,29909.97,10921.49,1155.67,63.7
105,175106.4,44600.0,171083.16,2643.44,3514.28,63.7
106,181417.6,103452.0,26467.27,8020.2803,717.2,63.7
107,254157.12,108652.0,57558.832,52552.21,2202.13,63.8
108,240499.84,104968.0,31620.94,25668.01,1969.04,63.8
109,8868.16,8599.0,551.87,446.34,17.93,63.8
110,190939.84,97837.0,22467.51,16147.82,500.41,63.8
111,222174.4,106643.0,35456.35,9546.14,1330.08,63.8
112,199773.28,102661.0,30861.47,11016.64,581.91,63.8
113,234078.88,28991.0,262143.0,418.66,1331.71,63.8
114,176638.56,99939.0,28951.55,11731.13,668.3,63.8
115,262143.0,110459.0,113148.92,38155.152,2810.1199,63.9
116,221976.16,92867.0,46466.07,30866.66,1541.98,63.9
