,FSC-A,FSC-H,SSC-A,PE-A,APC-A,Time
0,151729.77,89192.0,24586.76,14250.01,140.18,52.7
1,181455.69,97647.0,35025.582,9449.26,151.59,52.9
2,131876.64,77120.0,20420.92,22863.68,79.87,52.9
3,141757.28,91845.0,23143.94,17146.03,66.83,53.1
4,148020.33,77641.0,39421.51,11077.19,200.49,53.1
5,199976.0,99729.0,57221.48,14798.42,247.76,53.1
6,133425.6,81241.0,23102.42,7954.54,78.24,53.2
7,206813.6,99918.0,35921.72,24820.31,171.15,53.2
8,135231.05,85224.0,25129.98,8842.03,153.22,53.3
9,95192.164,63396.0,18301.67,18576.74,104.32,53.3
10,199001.6,91101.0,31562.121,20230.621,198.86,53.3
11,173231.52,98958.0,28425.63,16516.31,128.77,53.4
12,69812.96,40621.0,41762.2,323.51,176.04,53.4
13,162961.12,94961.0,17358.82,16128.79,127.14,53.4
14,162481.77,94764.0,22145.73,13919.58,79.87,53.4
15,159498.08,91349.0,25386.02,13468.05,128.77,53.5
16,131578.72,80464.0,22192.44,8617.13,114.1,53.5
17,193207.84,91825.0,44910.8,16708.34,167.89,53.5
18,177444.95,94266.0,30882.23,17332.871,101.06,53.5
19,184416.95,99862.0,21273.81,18507.541,79.87,53.6
20,236365.92,109538.0,44583.832,20533.371,66.83,53.6
21,205287.05,95412.0,26519.17,9309.13,163.0,53.6
22,142418.08,78509.0,25569.4,10013.24,91.28,53.7
23,151872.0,85702.0,30031.07,19685.67,88.02,53.7
24,183048.33,92014.0,32603.58,14967.96,117.36,53.7
25,262143.0,109445.0,81434.56,26858.25,259.17,53.7
26,158219.05,93796.0,24050.46,8848.95,35.86,53.8
27,195399.69,101955.0,26335.791,20576.621,76.61,53.8
28,187283.05,95960.0,25417.16,13698.141,163.0,53.8
29,262143.0,105196.0,48244.51,22315.27,265.69,53.8
30,195888.0,93668.0,47568.082,19884.621,260.8,53.8
31,207034.23,103184.0,44621.89,18808.56,237.98,53.9
32,210248.64,103665.0,46761.902,29280.25,283.62,53.9
33,262143.0,121065.0,84692.15,31686.68,316.22,53.9
34,262143.0,97676.0,88136.58,29178.18,462.92,53.9
35,186671.52,89114.0,42194.7,18272.26,216.79,53.9
36,167633.77,96614.0,34222.86,8584.26,52.16,54.0
37,205719.36,99380.0,48433.082,8075.64,136.92,54.0
38,209267.52,99536.0,42506.1,19126.88,184.19,54.0
39,193883.2,99248.0,37729.57,24003.75,128.77,54.0
40,262143.0,115059.0,137586.9,140593.64,883.46,54.0
41,262143.0,105850.0,79906.97,30864.93,534.64,54.0
42,227894.23,74792.0,69917.95,24977.74,365.12,54.1
43,172847.36,94080.0,32863.082,6689.91,130.4,54.1
44,147688.8,81421.0,33534.32,15559.62,105.95,54.2
45,215224.8,95108.0,37002.97,16104.57,145.06999,54.2
46,262143.0,124477.0,194500.44,115105.555,1087.21,54.3
47,150377.92,86336.0,32811.18,9843.7,146.7,54.4
48,140711.2,89530.0,31390.85,7480.52,97.8,54.8
49,180598.88,103458.0,22986.51,2823.36,127.14,54.8
50,173886.72,85214.0,26775.21,32470.371,203.75,54.9
51,182527.52,91785.0,36188.14,14582.17,172.78,55.3
52,34378.4,9665.0,66203.64,231.82,348.82,55.3
53,118441.12,71736.0,23837.67,13078.8,86.39,55.3
54,173932.64,100040.0,30385.72,13732.74,130.4,55.5
55,161228.48,98685.0,20514.34,10059.95,117.36,55.5
56,176109.92,94781.0,32293.91,9335.08,68.46,55.8
57,174363.84,94084.0,22372.36,14203.3,71.72,55.9
58,183489.6,96467.0,22387.93,11800.33,117.36,56.0
59,133572.33,86000.0,33036.082,21903.53,128.77,56.0
60,135900.8,75505.0,30941.05,13798.48,120.62,56.1
61,205045.12,105472.0,46761.902,11134.28,252.65,56.2
62,170032.8,93131.0,28380.65,9461.37,182.56,56.3
63,217080.64,103717.0,32252.39,19164.94,128.77,56.3
64,148868.16,89325.0,27922.201,7302.33,153.22,56.3
65,193824.95,94705.0,46682.32,11284.79,172.78,56.4
66,155965.6,96617.0,20637.17,15158.26,21.19,56.5
67,100621.92,62557.0,20379.4,12949.05,74.98,56.5
68,185629.92,101167.0,30110.65,4805.94,143.44,56.5
69,155346.23,75881.0,50761.66,29024.21,304.81,56.6
70,170356.48,95593.0,20803.25,12391.99,146.7,56.6
71,165798.08,95587.0,38540.94,25491.55,198.86,56.6
72,145592.16,79596.0,27489.701,14857.24,143.44,56.7
73,170362.08,80961.0,33902.81,24254.6,337.41,56.7
74,185833.77,89605.0,37772.82,24436.25,231.46,56.7
75,120432.484,77620.0,17118.35,10359.24,120.62,56.8
76,187409.6,92393.0,33650.23,19438.28,153.22,56.8
77,145162.08,71452.0,26365.201,18293.02,236.35,56.8
78,262143.0,132645.0,94437.24,67482.11,542.79,56.9
79,228151.84,103072.0,35122.46,24737.27,200.49,56.9
80,94780.0,50919.0,20948.57,13151.46,197.23,57.1
81,29178.24,20941.0,2524.07,6.92,-11.41,57.3
82,140467.05,77502.0,28171.32,20896.67,109.21,57.4
83,174166.72,92285.0,42900.54,21877.58,164.63,57.4
84,166967.36,89621.0,44108.082,16481.71,200.49,57.4
85,175076.16,97287.0,24778.791,20439.951,110.84,57.5
86,166901.28,85517.0,39764.05,12966.351,197.23,57.5
87,107059.68,59167.0,44431.59,264.69,177.67,57.6
88,181405.28,94013.0,43199.832,13317.54,251.02,57.6
89,179679.36,100346.0,42051.11,16734.291,105.95,57.6
90,181214.88,93685.0,35565.34,20235.81,195.6,57.7
91,42509.6,23821.0,9198.41,3.46,35.86,57.7
92,262143.0,107177.0,131147.84,64511.7,707.42,57.7
93,100157.12,61179.0,42002.67,23979.53,213.53,57.8
94,189184.8,98360.0,27671.35,18031.791,122.25,57.8
95,177101.12,91355.0,33850.91,11423.19,136.92,57.8
96,202157.77,106412.0,31056.96,15367.59,130.4,57.9
97,152138.56,82376.0,27790.72,18543.871,223.31,57.9
98,96156.48,57916.0,18770.5,5925.25,92.909996,57.9
99,186381.44,97969.0,22699.33,14557.95,153.22,57.9
100,173962.88,101733.0,30487.791,14590.82,156.48,57.9
101,138080.33,78656.0,18023.14,10366.16,35.86,58.0
102,211512.0,103111.0,36260.8,20055.89,231.46,58.0
103,204013.6,96656.0,48836.17,7722.72,153.22,58.0
104,173699.69,97616.0,25431.0,10672.37,141.81,58.1
105,140198.23,83632.0,30129.68,10606.63,71.72,58.1
106,170829.12,89444.0,29226.621,14559.68,83.13,58.1
107,192188.64,92481.0,42101.28,22014.25,264.06,58.1
108,180402.88,101075.0,29636.63,15668.61,130.4,58.1
109,244698.72,105690.0,40449.13,25796.031,185.81999,58.2
110,175141.12,89733.0,52116.25,28387.57,202.12,58.2
111,214493.44,92121.0,57032.91,24280.55,216.79,58.2
112,262143.0,103445.0,90480.734,58349.44,658.52,58.3
113,262143.0,100597.0,95530.6,47144.23,537.9,58.3
114,175445.77,94221.0,38731.242,15066.57,233.09,58.5
115,79854.88,53475.0,32847.51,13410.96,57.05,58.5
116,102798.08,67668.0,24277.09,11174.07,34.23,58.8
117,194146.4,99148.0,66897.37,30081.24,233.09,59.0
118,168302.4,97220.0,20687.34,14948.93,114.1,59.0
119,148519.84,86368.0,28121.15,10603.17,151.59,59.3
120,192255.84,91011.0,44836.41,22323.92,231.46,59.5
121,151214.56,88452.0,35155.332,5363.0,176.04,59.6
122,135815.69,89233.0,30366.69,12179.2,174.41,59.6
123,180365.92,108196.0,35290.27,19388.11,216.79,59.6
124,165705.12,96852.0,31356.25,11289.98,203.75,59.7
125,160829.77,93790.0,18735.9,16441.92,66.83,59.7
126,189197.12,98364.0,27109.1,11267.49,102.69,59.8
127,209183.52,105521.0,39236.402,15198.05,197.23,59.8
128,207592.0,103901.0,49415.72,24605.791,275.47,59.8
129,131146.4,76536.0,24418.951,25612.65,211.9,59.9
130,150984.95,93421.0,30986.031,7764.24,104.32,59.9
131,193006.23,94796.0,52813.44,26372.121,228.2,59.9
132,205978.08,107485.0,24455.28,22420.8,146.7,59.9
133,214158.56,100066.0,39127.41,31593.26,133.66,59.9
134,126085.12,73288.0,21259.97,14777.66,86.39,60.0
135,22070.72,11280.0,26209.5,53.63,13.04,60.0
136,162985.77,83096.0,29626.25,16230.86,151.59,60.0
137,195552.0,112861.0,30825.14,24057.38,185.81999,60.0
138,234156.16,106751.0,65755.57,12712.04,278.73,60.1
139,170212.0,97680.0,27920.47,7418.24,57.05,60.1
140,171364.48,92854.0,22060.96,16236.05,140.18,60.1
141,160698.72,86972.0,45372.71,8409.53,220.05,60.1
142,208836.33,93684.0,26731.96,19689.13,117.36,60.1
143,199260.33,87618.0,53647.3,24140.42,280.36,60.2
144,262143.0,102025.0,73999.02,32286.99,330.88998,60.2
145,172249.28,100030.0,20926.08,5186.54,44.01,60.2
146,262143.0,112848.0,131684.14,103450.54,785.66,60.3
147,152509.28,86345.0,39483.79,5843.94,97.8,60.3
148,198134.72,97765.0,34470.25,22265.1,172.78,60.4
149,153601.28,81294.0,67772.75,38573.81,324.37,60.4
150,168133.28,82838.0,53297.84,23695.81,205.38,60.4
151,262143.0,98871.0,70191.29,42957.63,374.9,60.4
152,188872.33,100229.0,39802.11,16568.21,148.33,60.5
153,178167.36,98152.0,24963.9,13089.18,0.0,60.6
154,175426.72,98560.0,21517.74,14364.19,74.98,60.6
155,262143.0,118897.0,110932.79,82809.914,713.94,60.6
156,186884.33,101257.0,23182.0,9596.311,74.98,60.6
157,157603.05,90748.0,19550.73,12530.391,4.89,60.6
158,187796.0,92492.0,34141.55,8693.25,89.65,60.6
159,245918.4,112712.0,30825.14,24325.53,143.44,60.6
160,231752.64,104335.0,48727.18,15303.58,200.49,60.7
161,193183.2,88361.0,29456.71,15817.391,132.03,60.7
162,236285.28,96872.0,36527.22,28200.73,239.61,60.7
163,165725.28,91948.0,31309.541,17774.02,164.63,60.8
164,105312.48,62321.0,34022.18,15362.4,247.76,60.9
165,173174.4,83110.0,46891.652,26913.61,223.31,61.0
166,176818.88,104528.0,17806.89,18016.22,91.28,61.2
167,138176.64,93909.0,20133.74,4683.11,55.42,61.3
168,195544.16,99703.0,63684.76,21868.93,260.8,61.4
169,195176.8,105160.0,43244.81,16753.32,226.56999,61.4
170,220146.08,105317.0,33112.2,26235.451,246.13,61.7
171,175972.16,95992.0,34561.94,27250.96,132.03,61.8
172,94529.12,53251.0,46433.2,21247.86,136.92,62.1
173,109043.2,66628.0,40340.14,22884.44,283.62,62.1
174,106373.12,60292.0,30167.74,4210.82,158.11,62.3
175,231907.2,103127.0,44436.78,17812.08,242.87,62.4
176,223356.0,94513.0,57036.37,33876.86,286.88,62.4
177,115867.36,77973.0,22820.43,6727.97,63.57,62.5
178,221547.2,99444.0,51804.85,18815.48,156.48,62.5
179,136489.92,89905.0,21033.34,7290.22,151.59,62.6
180,140853.44,84753.0,30880.5,5326.67,130.4,62.6
181,177754.08,97381.0,43542.37,3442.7,226.56999,62.6
182,262143.0,91448.0,107941.625,51908.652,557.46,62.7
183,253364.16,116503.0,113436.1,12668.79,288.51,62.8
184,168006.72,96795.0,28510.4,10988.96,141.81,62.9
185,18273.92,8556.0,34195.18,150.51,154.85,63.0
186,153829.77,93905.0,39379.992,10362.7,182.56,63.2
187,154464.8,89009.0,16881.34,16613.19,92.909996,63.2
188,147628.33,86330.0,23481.291,9354.11,174.41,63.6
189,163291.52,88553.0,37700.16,9909.44,172.78,63.6
190,186493.44,93165.0,27245.77,5496.21,110.84,63.7
191,145019.84,84151.0,31063.88,9388.71,149.96,63.8
192,203549.92,95421.0,36740.01,23007.27,148.33,63.8
193,103806.08,65199.0,31050.041,8170.79,156.48,64.0
194,60611.04,35492.0,18903.71,164.35,73.35,64.1
